gvkey,year,patentcount
001161,2005,558
001161,2006,483
001161,2007,338
001161,2008,232
001161,2009,220
001161,2010,186
001161,2011,203
001161,2012,189
001161,2013,233
001161,2014,225
001161,2015,193
001161,2016,213
001161,2017,47
001164,1998,1
001164,1999,22
001164,2000,7
001164,2001,13
001164,2002,26
001164,2003,3
001164,2004,19
001166,1988,2
001166,1989,1
001166,1992,1
001166,1993,1
001166,1994,2
001166,1995,1
001166,1996,3
001166,1997,1
001166,1998,1
001166,1999,3
001166,2000,25
001166,2001,28
001166,2002,47
001166,2003,62
001166,2004,74
001166,2005,65
001166,2006,65
001166,2007,41
001166,2008,44
001166,2009,57
001166,2010,84
001166,2011,56
001166,2012,42
001166,2013,39
001166,2014,30
001166,2015,30
001166,2016,22
001166,2017,9
001177,2010,2
001177,2011,3
001177,2012,1
001177,2013,4
001177,2014,2
001193,1982,1
001193,1986,2
001193,1992,1
001193,2001,1
001193,2002,1
001209,1980,32
001209,1981,32
001209,1982,55
001209,1983,50
001209,1984,61
001209,1985,81
001209,1986,62
001209,1987,86
001209,1988,70
001209,1989,119
001209,1990,98
001209,1991,119
001209,1992,90
001209,1993,113
001209,1994,127
001209,1995,74
001209,1996,78
001209,1997,73
001209,1998,84
001209,1999,87
001209,2000,113
001209,2001,102
001209,2002,89
001209,2003,119
001209,2004,92
001209,2005,75
001209,2006,96
001209,2007,98
001209,2008,87
001209,2009,75
001209,2010,88
001209,2011,80
001209,2012,99
001209,2013,114
001209,2014,94
001209,2015,76
001209,2016,74
001209,2017,29
001213,1993,1
001213,1999,1
001213,2000,1
001213,2001,3
001228,2007,1
001234,1997,1
001234,1998,5
001234,1999,4
001234,2000,5
001234,2001,1
001234,2002,1
001234,2004,2
001234,2005,1
001234,2006,1
001234,2008,1
001234,2011,2
001234,2012,7
001234,2013,2
001234,2016,2
001235,1983,1
001235,1985,1
001235,1996,2
001235,1997,4
001235,1998,2
001238,1999,1
001238,2001,1
001243,1980,4
001243,1981,5
001243,1982,7
001243,1983,11
001243,1984,10
001243,1985,22
001243,1986,22
001243,1987,20
001243,1988,13
001243,1989,37
001243,1990,38
001243,1991,52
001243,1992,55
001243,1993,22
001243,1994,26
001243,1995,19
001243,1996,15
001243,1997,12
001243,1998,12
001243,1999,13
001243,2000,17
001243,2001,14
001243,2002,19
001243,2003,23
001243,2004,14
001243,2005,5
001243,2006,3
001244,1990,2
001244,1991,2
001244,1992,1
001244,1993,2
001244,1995,1
001244,1997,5
001244,1998,1
001244,2000,4
001244,2001,1
001246,1998,1
001250,1989,2
001254,1983,1
001254,1985,1
001254,1986,2
001254,1991,1
001254,1994,1
001254,2000,2
001254,2006,1
001254,2011,1
001254,2013,2
001254,2016,1
001259,1989,1
001259,1996,3
001259,1997,1
001259,2001,3
001259,2002,1
001259,2007,1
001259,2008,2
001259,2009,6
001259,2010,1
001266,1995,1
001270,1980,1
001278,1988,2
001278,1994,2
001278,1996,2
001278,1997,6
001278,1998,12
001278,1999,3
001279,2007,1
001279,2008,1
001281,1998,5
001281,1999,6
001281,2000,3
001281,2001,1
001281,2002,1
001283,1980,3
001283,1981,1
001283,1982,3
001283,1983,3
001283,1984,2
001283,1985,2
001283,1987,1
001283,1990,1
001283,1991,1
001283,1999,1
001283,2002,1
001300,1980,45
001300,1981,59
001300,1982,63
001300,1983,64
001300,1984,58
001300,1985,56
001300,1986,44
001300,1987,36
001300,1988,139
001300,1989,390
001300,1990,367
001300,1991,354
001300,1992,424
001300,1993,337
001300,1994,215
001300,1995,149
001300,1996,127
001300,1997,103
001300,1998,179
001300,1999,203
001300,2000,191
001300,2001,194
001300,2002,204
001300,2003,158
001300,2004,146
001300,2005,100
001300,2006,127
001300,2007,135
001300,2008,200
001300,2009,176
001300,2010,239
001300,2011,254
001300,2012,318
001300,2013,331
001300,2014,371
001300,2015,415
001300,2016,389
001300,2017,93
001308,1980,46
001308,1981,44
001308,1982,46
001308,1983,56
001308,1984,38
001308,1985,20
001308,1986,12
001308,1987,2
001308,2007,1
001326,1981,1
001327,2001,1
001327,2002,10
001327,2003,57
001327,2004,76
001327,2005,39
001327,2006,42
001327,2007,26
001327,2008,24
001327,2009,46
001327,2010,24
001327,2011,38
001327,2012,30
001327,2013,52
001327,2014,50
001327,2015,76
001327,2016,111
001327,2017,66
001328,1981,8
001328,1982,1
001328,1983,2
001351,1988,1
001351,1992,4
001351,1993,5
001351,1994,4
001351,1995,2
001351,1996,4
001351,1997,6
001356,1980,38
001356,1981,43
001356,1982,24
001356,1983,30
001356,1984,52
001356,1985,64
001356,1986,75
001356,1987,78
001356,1988,77
001356,1989,64
001356,1990,61
001356,1991,71
001356,1992,54
001356,1993,76
001356,1994,70
001356,1995,51
001356,1996,63
001356,1997,43
001356,1998,75
001356,1999,61
001356,2000,42
001356,2001,52
001356,2002,54
001356,2003,60
001356,2004,60
001356,2005,50
001356,2006,36
001356,2007,34
001356,2008,30
001356,2009,14
001356,2010,28
001356,2011,23
001356,2012,31
001356,2013,30
001356,2014,34
001356,2015,27
001359,1980,24
001359,1981,23
001359,1982,15
001359,1983,7
001359,1984,29
001359,1985,25
001359,1986,28
001359,1987,29
001359,1988,42
001359,1989,46
001359,1990,46
001359,1991,36
001359,1992,42
001359,1993,55
001359,1994,34
001359,1995,31
001359,1996,28
001359,1997,38
001359,1998,31
001359,1999,57
001359,2000,36
001365,1980,18
001365,1981,8
001365,1982,16
001365,1983,6
001365,1984,13
001365,1985,28
001365,1986,17
001365,1987,12
001365,1988,11
001365,1989,5
001365,1990,8
001365,1991,2
001365,1992,1
001372,1990,1
001372,1992,1
001372,1994,1
001372,1995,2
001372,1996,4
001372,1997,3
001372,1998,1
001372,2000,1
001372,2001,1
001380,1989,1
001380,1993,1
001380,1994,1
001380,1996,1
001380,1999,1
001380,2000,1
001380,2002,1
001388,1994,1
001388,1995,2
001388,1996,2
001388,1997,2
001388,2003,2
001388,2004,1
001388,2006,2
001388,2008,2
001388,2009,2
001388,2010,5
001388,2011,4
001388,2012,12
001388,2013,8
001388,2014,9
001388,2015,4
001388,2016,4
001388,2017,3
001393,1990,1
001393,1995,2
001393,1997,2
001397,1981,2
001397,1982,1
001397,1983,1
001397,1985,1
001397,1986,1
001397,1987,1
001397,1988,1
001397,1992,1
001397,1994,1
001397,1997,1
001408,1980,2
001408,1986,2
001408,1988,1
001408,1991,2
001408,1992,1
001408,1993,1
001408,1995,1
001408,1996,3
001408,1997,2
001408,1998,6
001408,2000,1
001408,2001,3
001408,2002,5
001408,2003,3
001408,2004,4
001408,2005,7
001408,2006,3
001408,2010,2
001408,2011,1
001410,1985,1
001410,1986,2
001410,1988,1
001410,2002,1
001430,1980,204
001430,1981,186
001430,1982,129
001430,1983,128
001430,1984,111
001430,1985,114
001430,1986,92
001430,1987,105
001430,1988,100
001430,1989,112
001430,1990,128
001430,1991,97
001430,1992,126
001430,1993,135
001440,1992,1
001440,1994,1
001440,1998,1
001440,1999,1
001440,2000,2
001440,2001,3
001440,2002,2
001440,2003,4
001440,2004,1
001440,2005,1
001440,2007,1
001440,2008,1
001440,2013,1
001447,1981,1
001447,1984,1
001447,1989,1
001447,1995,1
001447,1999,1
001447,2000,5
001447,2001,1
001447,2003,2
001447,2004,8
001447,2005,4
001447,2006,23
001447,2007,37
001447,2008,62
001447,2009,75
001447,2010,96
001447,2011,110
001447,2012,128
001447,2013,99
001447,2014,66
001447,2015,29
001447,2016,41
001447,2017,15
001449,1994,1
001449,1995,2
001468,1981,2
001468,1984,1
001468,1985,2
001468,1986,2
001468,1987,1
001468,1988,1
001468,1989,4
001468,1990,3
001468,1993,1
001468,1994,1
001468,1995,2
001468,1996,2
001468,1997,5
001468,1998,6
001468,1999,4
001468,2000,2
001468,2001,2
001468,2002,3
001468,2004,1
001468,2005,2
001468,2006,2
001468,2008,1
001468,2009,1
001468,2010,3
001468,2011,7
001468,2012,18
001478,1980,57
001478,1981,54
001478,1982,47
001478,1983,27
001478,1984,38
001478,1985,49
001478,1986,41
001478,1987,45
001478,1988,63
001478,1989,82
001478,1990,81
001478,1991,56
001478,1992,69
001478,1993,89
001478,1994,55
001478,1995,93
001478,1996,136
001478,1997,107
001478,1998,154
001478,1999,147
001478,2000,111
001478,2001,170
001478,2002,182
001478,2003,166
001478,2004,215
001478,2005,154
001478,2006,204
001478,2007,197
001478,2008,199
001481,1980,34
001481,1981,34
001481,1982,20
001481,1983,21
001481,1984,34
001485,1992,1
001485,1994,2
001485,1996,1
001485,1997,2
001487,2003,1
001487,2004,1
001487,2006,2
001487,2007,1
001487,2008,1
001487,2010,1
001487,2011,2
001487,2012,3
001487,2013,3
001487,2014,2
001487,2015,1
001491,2007,1
001496,1986,1
001496,1987,1
001496,1989,3
001496,2002,1
001500,2000,1
001500,2001,4
001500,2002,10
001500,2003,9
001512,1980,1
001531,1984,1
001533,2000,1
001533,2012,1
001533,2013,1
001537,1988,1
001537,1989,2
001537,1990,7
001537,1991,4
001537,1992,10
001537,1993,13
001537,1994,10
001537,1995,14
001537,1996,13
001537,1997,11
001542,1982,2
001542,1983,1
001542,1989,1
001542,1990,2
001542,1995,1
001542,1998,1
001542,1999,1
001543,1994,1
001543,1995,1
001554,1980,5
001554,1981,5
001554,1982,3
001554,1983,3
001554,1984,2
001554,1985,2
001554,1986,1
001554,1987,2
001554,1988,1
001554,1989,7
001554,1990,2
001554,1991,1
001554,1992,1
001554,1993,3
001554,1994,1
001554,1995,1
001554,1997,1
001554,1998,1
001554,1999,4
001554,2000,3
001554,2001,7
001554,2002,8
001554,2003,4
001554,2006,2
001554,2007,1
001554,2008,1
001554,2009,9
001554,2010,2
001554,2011,3
001554,2012,4
001554,2013,7
001554,2014,7
001554,2015,8
001567,1991,1
001567,1996,2
001567,2007,1
001571,1980,6
001571,1981,10
001571,1982,6
001571,1983,3
001577,1986,1
001577,1987,1
001577,1988,1
001577,1989,1
001577,1990,2
001577,1991,2
001577,1992,1
001577,1996,1
001577,2002,2
001577,2007,1
001581,1980,64
001581,1981,70
001581,1982,64
001581,1983,85
001581,1984,21
001581,1987,1
001581,1990,1
001581,1992,1
001581,1994,66
001581,1995,622
001581,1996,490
001581,1997,6
001581,1998,134
001581,1999,229
001581,2000,235
001581,2001,248
001581,2002,267
001581,2003,210
001581,2004,220
001585,1998,1
001585,2000,2
001585,2002,1
001585,2003,1
001585,2005,1
001585,2011,1
001585,2012,1
001587,2000,1
001593,1996,1
001593,1997,3
001593,1998,11
001593,1999,6
001593,2000,3
001593,2001,3
001593,2002,1
001593,2003,2
001593,2004,1
001593,2005,1
001593,2006,1
001593,2007,2
001593,2009,1
001598,1980,4
001598,1981,6
001598,1982,5
001598,1983,4
001598,1984,2
001598,1985,1
001598,1986,3
001598,1987,17
001598,1988,6
001598,1989,6
001598,1990,6
001598,1991,6
001598,1992,4
001598,1993,4
001598,1994,4
001598,1995,1
001598,1996,6
001598,1997,5
001598,1998,6
001598,1999,2
001598,2000,4
001598,2001,6
001598,2002,7
001598,2003,4
001598,2004,9
001598,2005,4
001598,2006,8
001598,2008,5
001598,2009,2
001598,2010,1
001598,2011,6
001598,2012,5
001598,2013,1
001598,2014,1
001598,2015,1
001598,2016,3
001602,1983,3
001602,1984,2
001602,1985,5
001602,1986,4
001602,1987,9
001602,1988,5
001602,1989,9
001602,1990,10
001602,1991,9
001602,1992,19
001602,1993,24
001602,1994,20
001602,1995,28
001602,1996,39
001602,1997,49
001602,1998,72
001602,1999,79
001602,2000,84
001602,2001,88
001602,2002,73
001602,2003,89
001602,2004,52
001602,2005,73
001602,2006,104
001602,2007,101
001602,2008,96
001602,2009,107
001602,2010,149
001602,2011,140
001602,2012,109
001602,2013,114
001602,2014,98
001602,2015,67
001602,2016,77
001602,2017,25
001606,1984,1
001606,1987,1
001606,1991,1
001606,1994,1
001606,1998,3
001606,2000,1
001606,2001,1
001608,1981,4
001608,1982,4
001608,1988,1
001608,1989,1
001608,1992,1
001608,1993,2
001608,1996,1
001609,1980,2
001609,1981,23
001609,1982,37
001609,1983,38
001609,1984,50
001609,1985,71
001609,1986,96
001609,1987,163
001609,1988,221
001609,1989,263
001609,1990,230
001609,1991,180
001609,1992,226
001609,1993,157
001609,1994,97
001609,1995,65
001609,1996,74
001609,1997,69
001623,1980,12
001623,1981,13
001623,1982,11
001623,1983,11
001623,1984,16
001623,1985,17
001623,1986,10
001623,1987,16
001623,1988,11
001627,1987,1
001627,1990,1
001627,1992,4
001627,1993,1
001627,1994,1
001627,1995,2
001627,1997,1
001627,1998,1
001632,1983,2
001632,1984,3
001632,1986,2
001632,1987,7
001632,1988,10
001632,1989,14
001632,1990,17
001632,1991,19
001632,1992,25
001632,1993,14
001632,1994,37
001632,1995,50
001632,1996,67
001632,1997,71
001632,1998,67
001632,1999,65
001632,2000,55
001632,2001,69
001632,2002,71
001632,2003,116
001632,2004,119
001632,2005,132
001632,2006,143
001632,2007,144
001632,2008,122
001632,2009,84
001632,2010,146
001632,2011,132
001632,2012,169
001632,2013,199
001632,2014,208
001632,2015,213
001632,2016,217
001632,2017,87
001633,1980,1
001633,1981,2
001633,1982,1
001633,1983,1
001633,1984,6
001633,1985,5
001633,1986,5
001633,1987,3
001633,1988,3
001633,1989,1
001633,1990,4
001633,1991,7
001633,1992,3
001633,1993,4
001633,1994,2
001633,1995,6
001633,1996,10
001633,1997,6
001633,1998,20
001633,1999,20
001633,2000,17
001633,2001,22
001633,2002,8
001633,2003,4
001633,2004,15
001633,2005,8
001633,2006,12
001633,2007,10
001633,2008,4
001633,2009,5
001633,2010,4
001633,2011,3
001633,2012,3
001633,2013,21
001633,2014,21
001633,2015,24
001633,2016,11
001633,2017,9
001635,1980,1
001635,1983,1
001635,2001,2
001635,2002,1
001635,2003,1
001635,2004,4
001635,2006,2
001635,2009,1
001635,2010,3
001635,2011,1
001635,2012,2
001635,2013,3
001640,1985,1
001642,1991,1
001643,1981,1
001643,1984,1
001643,1985,1
001645,1980,3
001645,1982,1
001645,1983,1
001645,1984,2
001647,1981,2
001647,1982,1
001647,1984,2
001650,1993,1
001650,1995,1
001650,1997,1
001650,1998,2
001650,1999,2
001650,2000,2
001650,2001,3
001650,2002,3
001650,2003,1
001650,2008,1
001650,2012,1
001650,2013,1
001650,2014,2
001650,2016,1
001651,1980,2
001651,1981,2
001651,1983,3
001651,1984,1
001651,1985,7
001651,1986,7
001651,1987,9
001651,1988,5
001651,1989,6
001651,1990,4
001651,1991,6
001651,1992,5
001651,1993,1
001651,1994,9
001651,1995,4
001651,1996,8
001651,1997,5
001651,1998,12
001651,1999,13
001651,2000,17
001651,2001,7
001651,2002,17
001651,2003,33
001651,2004,45
001651,2005,44
001651,2006,53
001651,2007,36
001655,1981,1
001655,1982,2
001655,1983,2
001655,1984,1
001655,1986,1
001655,2000,1
001657,1985,1
001659,1996,1
001659,2000,1
001659,2001,1
001659,2003,1
001659,2010,4
001659,2011,3
001659,2012,3
001659,2013,9
001659,2015,3
001659,2016,1
001659,2017,2
001661,1991,1
001661,1992,3
001661,1993,1
001661,1998,1
001661,2000,1
001661,2005,1
001661,2006,1
001661,2009,1
001661,2010,4
001661,2011,1
001661,2012,1
001661,2013,2
001661,2014,3
001661,2015,5
001661,2016,12
001661,2017,3
001663,1983,1
001663,1986,1
001663,1988,3
001663,1990,3
001663,1991,1
001663,1993,1
001663,1997,2
001663,1998,2
001663,2000,4
001663,2001,3
001663,2002,2
001663,2003,2
001663,2004,3
001663,2005,1
001663,2007,2
001677,1980,1
001677,1981,1
001677,1987,1
001677,1991,1
001677,1993,1
001677,1995,3
001677,1996,3
001677,1997,3
001677,1998,12
001677,1999,14
001677,2000,16
001677,2001,12
001677,2002,8
001677,2003,8
001677,2004,10
001677,2005,13
001677,2006,5
001678,2001,1
001678,2004,1
001678,2005,1
001678,2006,1
001678,2011,3
001678,2013,2
001678,2014,1
001678,2015,1
001678,2016,2
001678,2017,1
001686,1997,1
001686,2003,1
001686,2013,1
001686,2014,1
001686,2015,2
001690,1980,2
001690,1981,1
001690,1982,1
001690,1983,2
001690,1984,3
001690,1985,3
001690,1986,3
001690,1987,4
001690,1988,7
001690,1989,7
001690,1990,21
001690,1991,24
001690,1992,36
001690,1993,49
001690,1994,55
001690,1995,105
001690,1996,168
001690,1997,204
001690,1998,256
001690,1999,170
001690,2000,85
001690,2001,97
001690,2002,76
001690,2003,80
001690,2004,94
001690,2005,85
001690,2006,107
001690,2007,118
001690,2008,185
001690,2009,289
001690,2010,563
001690,2011,676
001690,2012,1138
001690,2013,1783
001690,2014,2029
001690,2015,1967
001690,2016,2114
001690,2017,789
001692,1987,1
001692,1988,2
001693,1987,1
001693,1989,8
001693,1990,2
001693,1991,5
001693,1992,10
001703,1987,4
001703,1997,1
001704,1980,1
001704,1983,3
001704,1984,1
001704,1985,1
001704,1986,7
001704,1987,3
001704,1988,11
001704,1989,9
001704,1990,15
001704,1991,17
001704,1992,38
001704,1993,52
001704,1994,56
001704,1995,69
001704,1996,97
001704,1997,93
001704,1998,176
001704,1999,264
001704,2000,386
001704,2001,435
001704,2002,504
001704,2003,540
001704,2004,370
001704,2005,372
001704,2006,374
001704,2007,303
001704,2008,305
001704,2009,337
001704,2010,475
001704,2011,388
001704,2012,359
001704,2013,350
001704,2014,366
001704,2015,437
001704,2016,524
001704,2017,170
001706,1980,6
001706,1981,1
001706,1982,2
001706,1983,1
001706,1984,10
001706,1985,14
001706,1986,2
001706,1987,5
001706,1988,3
001706,1989,3
001706,1990,7
001706,1991,4
001706,1992,3
001706,1993,7
001706,1994,6
001706,1995,6
001706,1996,13
001706,1997,13
001706,1998,15
001706,1999,19
001706,2000,10
001706,2001,10
001706,2002,9
001706,2003,7
001706,2004,13
001706,2005,12
001706,2006,9
001706,2007,13
001706,2008,10
001706,2009,9
001706,2010,4
001706,2011,6
001706,2012,9
001706,2013,7
001706,2014,9
001706,2015,8
001706,2016,3
001706,2017,4
001722,1981,1
001722,1987,1
001722,1988,2
001722,1990,2
001722,1991,1
001722,1993,2
001722,1994,4
001722,1995,4
001722,1997,4
001722,1998,6
001722,1999,9
001722,2000,10
001722,2001,14
001722,2002,25
001722,2003,22
001722,2004,21
001722,2005,17
001722,2006,19
001722,2007,14
001722,2008,25
001722,2009,18
001722,2010,33
001722,2011,34
001722,2012,43
001722,2013,25
001722,2014,50
001722,2015,49
001722,2016,58
001722,2017,17
001728,2009,1
001728,2010,1
001728,2011,1
001734,1985,1
001754,1983,1
001754,1984,2
001754,1985,2
001754,1987,1
001754,1990,1
001754,1992,1
001754,1993,1
001754,1994,1
001754,1995,1
001755,1980,14
001755,1981,15
001755,1982,15
001755,1983,18
001755,1984,31
001755,1985,26
001755,1986,13
001755,1987,11
001755,1988,5
001755,1989,7
001755,1990,3
001755,1991,13
001755,1992,9
001755,1993,5
001755,1994,5
001755,1995,5
001755,1996,5
001755,1997,8
001755,1998,5
001766,1982,1
001766,1983,1
001773,1994,1
001773,2011,1
001773,2015,1
001783,1980,1
001783,1982,1
001783,1995,1
001783,2007,1
001783,2011,1
001786,1980,8
001786,1981,2
001786,1982,5
001786,1983,1
001786,1984,2
001786,1985,4
001786,1986,3
001786,1987,4
001786,1988,8
001786,1989,2
001786,1990,3
001786,1991,3
001786,1992,1
001786,1993,3
001786,1994,5
001786,1995,2
001786,1996,1
001786,1997,2
001786,1998,4
001786,1999,7
001789,1980,1
001789,1981,2
001789,1982,5
001789,1983,1
001789,1984,3
001789,1985,4
001789,1986,2
001789,1988,3
001789,1989,1
001789,1990,3
001789,1991,1
001789,1992,3
001789,1993,3
001789,1994,2
001789,1996,1
001789,1997,1
001789,1998,4
001794,1980,13
001794,1981,26
001794,1982,24
001794,1983,54
001794,1984,55
001794,1985,52
001794,1986,47
001794,1987,66
001794,1988,65
001794,1989,49
001794,1990,22
001794,1991,25
001794,1992,84
001794,1993,88
001794,1994,66
001794,1995,46
001794,1996,35
001794,1997,61
001794,1998,51
001794,1999,52
001794,2000,42
001794,2001,55
001794,2002,56
001794,2003,68
001794,2004,31
001794,2005,27
001794,2006,23
001794,2007,7
001794,2008,9
001794,2009,4
001794,2010,11
001794,2011,11
001794,2012,14
001794,2013,19
001794,2014,17
001794,2015,16
001794,2016,15
001820,1986,1
001820,1987,1
001820,1988,1
001820,1989,1
001820,1992,1
001820,1997,1
001820,1999,1
001820,2000,2
001820,2001,2
001820,2007,2
001820,2008,1
001823,1983,1
001823,1986,2
001823,1987,1
001823,1988,1
001823,1989,1
001823,1994,1
001823,1997,1
001823,2000,1
001823,2001,2
001823,2002,1
001823,2005,1
001823,2006,1
001823,2007,1
001823,2008,1
001823,2011,5
001823,2012,4
001823,2013,1
001823,2014,1
001823,2015,2
001823,2016,3
001824,1986,1
001824,1987,1
001824,1988,2
001832,1989,1
001837,2007,1
001837,2014,1
001847,1980,1
001847,1982,1
001847,1984,1
001847,1985,3
001847,1986,2
001848,1980,58
001848,1981,86
001848,1982,71
001848,1983,93
001848,1984,126
001848,1985,136
001848,1986,109
001848,1987,143
001848,1988,78
001848,1989,74
001848,1990,63
001848,1991,59
001848,1992,57
001848,1993,66
001848,1994,70
001848,1995,61
001848,1996,40
001848,1997,29
001848,1998,34
001848,1999,42
001860,1980,1
001860,1981,1
001860,1982,1
001860,1988,1
001860,2001,1
001860,2002,1
001860,2010,1
001860,2012,1
001860,2013,1
001860,2016,1
001865,1980,2
001865,1981,3
001865,1982,2
001865,1983,5
001865,1984,10
001865,1985,5
001865,1986,4
001865,1987,6
001865,1988,9
001865,1989,9
001865,1990,3
001865,1991,7
001865,1992,3
001865,1993,8
001865,1994,8
001865,1995,10
001866,2004,1
001877,1989,1
001877,1990,2
001877,1994,2
001878,1993,1
001878,1994,1
001878,1996,2
001878,1997,1
001878,1998,8
001878,1999,8
001878,2000,19
001878,2001,19
001878,2002,28
001878,2003,25
001878,2004,28
001878,2005,41
001878,2006,52
001878,2007,34
001878,2008,27
001878,2009,41
001878,2010,47
001878,2011,35
001878,2012,45
001878,2013,51
001878,2014,58
001878,2015,59
001878,2016,45
001878,2017,16
001879,1980,1
001879,1981,1
001879,1982,1
001888,1988,3
001891,1998,1
001891,2001,1
001891,2008,1
001891,2011,1
001891,2013,1
001891,2015,2
001891,2016,1
001891,2017,1
001902,1988,1
001902,1989,1
001902,1990,2
001902,1992,2
001902,1994,2
001902,1995,4
001902,1996,2
001902,1998,4
001902,1999,3
001902,2001,2
001902,2004,1
001902,2006,1
001902,2007,1
001905,1980,1
001905,1986,1
001905,1987,4
001905,1988,4
001905,1989,4
001905,1990,8
001913,1982,1
001913,1991,2
001913,1992,18
001913,1993,22
001913,1994,24
001913,1995,19
001913,1996,40
001913,1997,54
001913,1998,59
001913,1999,63
001913,2000,61
001913,2001,52
001913,2002,59
001913,2003,70
001913,2004,56
001913,2005,46
001913,2006,38
001913,2007,49
001913,2008,35
001913,2009,43
001913,2010,48
001913,2011,48
001913,2012,50
001913,2013,33
001913,2014,42
001913,2015,50
001913,2016,39
001913,2017,14
001919,1980,1
001919,1982,1
001919,1986,1
001919,1989,2
001919,1992,1
001919,1994,2
001919,1995,1
001919,1996,1
001919,2011,1
001919,2014,1
001920,1980,1
001920,1981,2
001920,1982,3
001920,1983,4
001920,1984,3
001920,1985,1
001920,1988,4
