year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1989,Panama,1,39,245.2,143.1,1440.2,1349.4,388.1,North America
1989,Singapore,1,6,10.15,2.58,95.42,96.47,9.29,Asia Pacific
1989,South Africa,1,2,0,0.4,6.17,3.84,-1.32,Other
1989,Sweden,6,122,1984.47,2691.28,7180.71,44805.67,4822.64,Europe
1989,Switzerland,6,262,497.56,1587.21,8350.25,53255.49,8203.09,Europe
1989,United Kingdom,26,702,5443.25,19156.21,8896.58,213766.77,38802.15,Europe
1989,United States,771,17913,54160.81,137884.98,3442.64,1918685.01,314032.65,North America
1990,Antigua and Barbuda,1,2,0,4.58,118.64,105.35,15.74,North America
1990,Australia,2,39,6.01,240.13,2698.78,3120.35,633.15,Asia Pacific
1990,Belgium,2,81,0,0,1159.38,879.64,248.69,Europe
1990,Canada,25,185,1273.94,9257.38,3857.81,51396.39,11168.78,North America
1990,China,1,2,0.05,0.03,1.6,2.12,-0.33,Asia Pacific
1990,Denmark,3,18,206.85,225.76,1127.14,2776.37,886.16,Europe
1990,Finland,3,45,339.28,31.97,3154.9,9361.09,631.33,Europe
1990,France,16,421,5624.91,2814.43,11084.46,153744.18,18476.34,Europe
1990,Germany,22,2524,16864.16,4770.19,11683.7,315305.54,30963.19,Europe
1990,"Hong Kong, SAR China",1,3,0,0,196.57,151.79,39.33,Asia Pacific
1990,Ireland,8,520,419.44,633.74,1900.27,14750.45,1832.22,Europe
1990,Israel,5,27,86.64,50.01,252.34,1195.41,139.9,Other
1990,Italy,3,31,1370.71,1380.9,31722.25,65440.02,10045.93,Europe
1990,Japan,183,13539,29929.47,49895.19,7450.42,1317185.2,100052.29,Asia Pacific
1990,Luxembourg,1,3,0,0,NaN,0,0,Europe
1990,Netherlands,8,886,3926.06,4292.35,9176.61,87531.91,9902.78,Europe
1990,New Zealand,1,3,0,0,245.16,295.84,34.51,Asia Pacific
1990,Norway,1,14,175.85,951.51,11996.67,10389.63,1817.32,Europe
1990,Panama,1,37,270.8,144,1786.5,1521,455.7,North America
1990,Singapore,1,1,10.61,2.4,97.18,102.81,11.31,Asia Pacific
1990,Spain,1,1,62,7533,34390,9048,4490,Europe
1990,Sweden,6,117,2463.96,2423.56,8199.45,47229.5,4240.66,Europe
1990,Switzerland,8,327,1762.75,1987.51,9410.85,63051.45,8516.73,Europe
1990,United Kingdom,31,782,7485.3,21707.11,8947.13,273764.47,43322.96,Europe
1990,United States,756,16790,60272.84,147557.74,3180.6,1991435.42,314163.03,North America
1991,Antigua and Barbuda,1,3,0,4.51,121.26,104.61,15.53,North America
1991,Australia,1,51,0,148.06,2110.32,508.81,143.2,Asia Pacific
1991,Belgium,2,101,0,0,1254.27,984.81,247.62,Europe
1991,Bermuda,2,2,0,354.56,800.41,625.07,158.71,North America
1991,Brazil,2,22,33.71,0,13948.48,7596.83,2330.67,Other
1991,Canada,29,223,1356.79,6754.74,3106.46,47118.5,7447.88,North America
1991,Denmark,3,42,227.78,274.51,1244.96,2954.52,977.04,Europe
1991,Finland,4,53,259.56,15.05,3693.12,9287.28,641.55,Europe
1991,France,15,442,6105.41,3555.09,12307.03,157256.32,18916.75,Europe
1991,Germany,22,2430,15235.38,5404.65,12367.85,336018.52,31019.33,Europe
1991,"Hong Kong, SAR China",1,8,0,0,227.63,167.31,41.78,Asia Pacific
1991,Ireland,9,576,448.91,617.41,1793.88,17953.58,2080.8,Europe
1991,Israel,3,15,61.2,47.2,329.97,921.12,119.38,Other
1991,Italy,3,34,1530.58,921.59,33274.46,65465.13,9713.58,Europe
1991,Japan,190,14598,34068.6,58582.34,7837.4,1406186.32,96167.85,Asia Pacific
1991,Luxembourg,1,3,0,0,NaN,0,0,Europe
1991,Mexico,1,1,0,0,3911.23,1733.84,427.11,North America
1991,Netherlands,7,950,3127.72,2014.88,10957.95,90412.29,6531.62,Europe
