year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
2006,8,18,39,176.29,26986.85,23827.94,162530.41,41693.93
2006,9,45,1194,2058.31,49233.93,16485.18,1340745,98321.52
2007,NA,1,25,22.98,23.12,799.95,657.89,94.26
2007,1,70,831,7875.6,25093.97,10517.65,680394.54,119506.15
2007,10,427,7105,126196.81,41744.48,3261.38,779642.31,217620.89
2007,11,67,596,556.34,25033.68,281877.75,1348299.44,622239.78
2007,12,97,4191,13857.13,81478.97,21488.87,1024747.38,198483.15
2007,2,124,8722,87146.87,187327.58,21163.53,2322288.23,272238.9
2007,3,356,17322,71288.18,110890.66,7036.45,2360378.23,311661.47
2007,4,40,1419,6788.74,189097.64,46667.31,2005326.72,423016.82
2007,5,128,3911,26922.3,58463.03,9304.85,1051599.96,163821.93
2007,6,677,46671,150638.66,137143.46,3825.17,2219945.61,352489.88
2007,7,45,1042,8820.95,141911.78,51333,1066301.28,334097.72
2007,8,19,39,196.91,38918.04,29549.44,188870.87,54714.37
2007,9,39,1021,2441.8,55417.43,20720.92,1516479.27,101722.75
2008,NA,1,6,21.95,15.69,768.25,600.51,73.58
2008,1,69,799,7919.22,25902.88,10403.86,708903.62,103094.99
2008,10,396,6786,130533.06,40957.1,3582.26,822075.58,231992.19
2008,11,68,646,634.26,20357.12,269133.72,906049.76,157433.47
2008,12,85,4367,14273.02,79188.87,23489.92,1036484.02,178381.58
2008,2,129,8353,86790.21,173764.21,18707.75,2040028.96,159407.41
2008,3,344,16838,69159.22,123401.91,7557.75,2455611.18,288590.27
2008,4,41,1465,7348.7,236403.95,48003.23,2604755.85,464421.53
2008,5,125,3556,27749.48,60797.9,9631.41,1108262.92,154150.41
2008,6,641,50094,158335.73,122158.1,3924.86,2230461.71,342489.6
2008,7,45,1266,8911.07,144441.22,48750.29,1085650.96,351292.17
2008,8,18,37,192.8,40084.21,30125.63,181962.52,45589.42
2008,9,37,1004,2718.09,51663.34,22363.8,1576498.55,91104.81
2009,NA,1,12,21.64,9.22,828.71,516.94,40.21
2009,1,67,881,7566.89,24660.46,12377.68,695419.01,111677.86
2009,10,396,7071,113737.46,36544.18,4200.17,817596.18,241231.1
2009,11,84,833,684.01,24702.44,269156.55,1286325.32,240998.68
2009,12,87,4647,14022.22,74805.99,20711.5,993133.88,160035.66
2009,2,126,8717,82808.37,125510.12,22678.52,1942541.75,124442.05
2009,3,348,17954,70713.15,90447.85,7794.93,2137355.6,213235.56
2009,4,48,1488,7050.96,241939.57,45965.09,1734213.09,338925.41
2009,5,124,3745,27038.71,51907.75,10374.68,950921.14,141335.27
2009,6,631,54358,148548.39,90750.2,4147.45,2125114.16,333954.69
2009,7,43,1439,10062.61,132221.13,52406.34,1086538.48,341403.7
2009,8,24,50,278.89,45479.49,26705.17,201290.91,56887.88
2009,9,38,1087,2995.01,46275.69,22617.59,1477006.62,102056.08
2010,NA,1,26,28.41,25.29,983.02,657.02,73.99
2010,1,73,1169,8869.75,28153.97,13641.86,778764.62,133221.51
2010,10,434,9833,127251.94,35131.27,4025.37,888301.6,264700.57
2010,11,86,1206,827.23,24440.26,346290.38,1579261.97,627370
2010,12,103,6107,13656.05,76557.99,19726.97,1032422.23,221348.86
2010,2,128,11027,89301.88,131474.25,20415.65,2142096.89,234458.51
2010,3,348,23061,73847.81,101273.02,8602.24,2496110.07,304380
2010,4,54,2179,7652.98,260296.61,48977.53,2230405.76,425531.56
2010,5,126,5315,29266,49126.46,10540.28,1082688.04,177904.79
2010,6,632,67639,170595.63,134582.96,4710.53,2482982.74,440210.17
2010,7,43,2141,10090.21,142229.01,56032.89,1165736.38,368501.35
2010,8,15,68,426.52,47872.29,42153.14,238021.77,61483.05
2010,9,47,1540,3129.1,46908.99,18912.63,1630213.7,108691.33
2011,NA,1,32,29.3,18.53,994.57,704.7,75.95
2011,1,70,1286,9127.62,30938.4,14334.14,789344.65,135210.11
