gvkey,year,company,city,country_code,sector_code,patentcount,country,region
1932,2014,British American Tobacco PLC,London,GBR,30,40,United Kingdom,Europe
100083,2014,Beiersdorf AG,Hamburg,DEU,30,37,Germany,Europe
100135,2014,Tate & Lyle PLC,London,GBR,30,19,United Kingdom,Europe
100775,2014,Koninklijke Numico NV,Hoofddorp,NLD,30,18,Netherlands,Europe
8546,2014,Koninklijke Philips NV,Amsterdam,NLD,35,1060,Netherlands,Europe
100080,2014,Bayer AG,Leverkusen,DEU,35,957,Germany,Europe
25648,2014,Roche Holding AG,Basel,CHE,35,553,Switzerland,Europe
101310,2014,Novartis AG,Basel,CHE,35,310,Switzerland,Europe
220301,2014,Merck KGaA,Darmstadt,DEU,35,282,Germany,Europe
101204,2014,Sanofi,Paris,FRA,35,272,France,Europe
326765,2014,Siemens Healthineers AG,Forchheim,DEU,35,241,Germany,Europe
101317,2014,Smith & Nephew PLC,Watford,GBR,35,188,United Kingdom,Europe
5180,2014,GSK plc,Brentford,GBR,35,147,United Kingdom,Europe
28272,2014,Astrazeneca PLC,Cambridge,GBR,35,111,United Kingdom,Europe
278557,2014,Touchstone Innovations Plc,London,GBR,40,20,United Kingdom,Europe
15671,2014,Skandinaviska Enskilda Banken Ab,Stockholm,SWE,40,15,Sweden,Europe
105547,2014,Barclays Bank PLC,London,GBR,40,13,United Kingdom,Europe
63546,2014,"Schweizerische Rueckversicherungs-Gesellschaft, Zuerich",Zurich,CHE,40,7,Switzerland,Europe
15181,2014,Banco Bilbao Vizcaya Argentaria SA,Bilbao,ESP,40,4,Spain,Europe
15617,2014,ING Groep NV,Amsterdam,NLD,40,3,Netherlands,Europe
206652,2014,OTP Bank PLC,Budapest,HUN,40,3,Hungary,Europe
241016,2014,TP ICAP Group PLC,London,JEY,40,3,Jersey,Europe
15509,2014,HSBC Holdings PLC,London,GBR,40,2,United Kingdom,Europe
15532,2014,BNP Paribas,Paris,FRA,40,2,France,Europe
4439,2014,Telefonaktiebolaget LM Ericsson (publ),Stockholm,SWE,45,1739,Sweden,Europe
23671,2014,Nokia OYJ,Espoo,FIN,45,947,Finland,Europe
132740,2014,Infineon Technologies AG,Neubiberg,DEU,45,856,Germany,Europe
31142,2014,STMicroelectronics NV,Schiphol,NLD,45,764,Netherlands,Europe
101352,2014,Alcatel-Lucent,Boulogne-Billancourt,FRA,45,704,France,Europe
184725,2014,NXP Semiconductors NV,Eindhoven,NLD,45,394,Netherlands,Europe
125863,2014,Vantiva SA,Paris,FRA,45,354,France,Europe
61214,2014,ASML Holding NV,Veldhoven,NLD,45,343,Netherlands,Europe
177267,2014,TE Connectivity plc,Ballybrit,IRL,45,284,Ireland,Europe
103487,2014,SAP SE,Walldorf,DEU,45,197,Germany,Europe
220940,2014,Orange SA,Issy-les-Moulineaux,FRA,50,126,France,Europe
2411,2014,BT Group PLC,London,GBR,50,72,United Kingdom,Europe
14894,2014,Vodafone Group Public Limited Company,Newbury,GBR,50,65,United Kingdom,Europe
14605,2014,WPP PLC,London,GBR,50,61,United Kingdom,Europe
19151,2014,Telecom Italia SPA,Rome,ITA,50,54,Italy,Europe
221616,2014,Deutsche Telekom AG,Bonn,DEU,50,40,Germany,Europe
61440,2014,Koninklijke Kpn NV,Rotterdam,NLD,50,22,Netherlands,Europe
13683,2014,Telefonica SA,Madrid,ESP,50,18,Spain,Europe
114927,2014,"Swisscom AG, Ittigen",Bern,CHE,50,18,Switzerland,Europe
102583,2014,Euromoney Institutional Investor PLC,London,GBR,50,7,United Kingdom,Europe
100478,2014,"Sta Elettrica Sopracenerina (Ses), Locarno",Locarno,CHE,55,513,Switzerland,Europe
220920,2014,EDF,Paris,FRA,55,18,France,Europe
238616,2014,Veolia Environnement SA,Paris,FRA,55,17,France,Europe
100953,2014,RWE Aktiengesellschaft,Essen,DEU,55,7,Germany,Europe
103489,2014,Degremont SA,Paris,FRA,55,5,France,Europe
213423,2014,Centrica PLC,Windsor,GBR,55,4,United Kingdom,Europe
100590,2014,E.ON SE,Essen,DEU,55,3,Germany,Europe
204671,2014,CEZ a s,Prague,CZE,55,3,Czechia,Europe
220942,2014,Engie SA,Courbevoie,FRA,55,3,France,Europe
349408,2014,Corporacion Acciona Energias Renovables S.A.,Madrid,ESP,55,2,Spain,Europe
210446,2014,MRM Sa,Paris,FRA,60,1,France,Europe
241774,2014,"Allreal Holding AG, Zug",Baar,CHE,60,1,Switzerland,Europe
211865,2014,Suunto Oy,Vantaa,FIN,NA,10,Finland,Europe
3530,2014,Cornelius Co,Redon,FRA,NA,5,France,Europe
204389,2014,Bridport PLC,Somerset,GBR,NA,3,United Kingdom,Europe
202242,2014,A. Friedr. Flender GmbH,Bocholt,DEU,NA,2,Germany,Europe
346469,2014,Medesis Pharma SA,Montpellier,FRA,NA,2,France,Europe
205311,2014,My Holdings PLC,Bagshot,GBR,NA,1,United Kingdom,Europe
318761,2014,EuroChem Group AG,Zug,CHE,NA,1,Switzerland,Europe
337060,2014,Incanthera plc,Manchester,GBR,NA,1,United Kingdom,Europe
351923,2014,LIBERTINE HOLDINGS PLC,Sheffield,GBR,NA,1,United Kingdom,Europe
9465,2014,Schlumberger Ltd,Houston,USA,10,755,United States,North America
5439,2014,Halliburton Co,Houston,USA,10,461,United States,North America
1976,2014,Baker Hughes Inc,Houston,USA,10,446,United States,North America
4503,2014,Exxon Mobil Corp,Spring,USA,10,377,United States,North America
9653,2014,Shell Oil Co,Houston,USA,10,216,United States,North America
2991,2014,Chevron Corp,San Ramon,USA,10,202,United States,North America
4367,2014,Weatherford International plc,Houston,USA,10,108,United States,North America
63892,2014,NOV Inc,Houston,USA,10,94,United States,North America
33326,2014,ChampionX Corp,The Woodlands,USA,10,65,United States,North America
32106,2014,Baker Hughes a GE Co,Houston,USA,10,60,United States,North America
4087,2014,E. I. du Pont de Nemours and Co,Indianapolis,USA,15,493,United States,North America
34443,2014,Dow Inc,Midland,USA,15,436,United States,North America
35168,2014,Corteva Inc,Indianapolis,USA,15,397,United States,North America
162254,2014,Celanese Corp,Irving,USA,15,143,United States,North America
4213,2014,Ecolab Inc.,Saint Paul,USA,15,131,United States,North America
6078,2014,International Flavors & Fragrances Inc,New York,USA,15,104,United States,North America
8247,2014,PPG Industries Inc.,Pittsburgh,USA,15,104,United States,North America
4060,2014,DuPont  De Nemours Inc,Wilmington,USA,15,83,United States,North America
1209,2014,Air Products and Chemicals Inc.,Allentown,USA,15,82,United States,North America
4061,2014,Dow Corning Corp,Midland,USA,15,80,United States,North America
5047,2014,GE Aerospace,Evendale,USA,20,2234,United States,North America
10983,2014,RTX Corp,Arlington,USA,20,987,United States,North America
2285,2014,Boeing Co,Arlington,USA,20,978,United States,North America
1300,2014,Honeywell International Inc,Charlotte,USA,20,842,United States,North America
7435,2014,3M Co,Saint Paul,USA,20,707,United States,North America
2817,2014,Caterpillar Inc,Irving,USA,20,508,United States,North America
6774,2014,Lockheed Martin Corp,Bethesda,USA,20,315,United States,North America
5878,2014,Illinois Tool Works Inc.,Glenview,USA,20,299,United States,North America
3835,2014,DEERE & COMPANY,Moline,USA,20,265,United States,North America
5492,2014,L3Harris Technologies Inc,Melbourne,USA,20,253,United States,North America
5073,2014,General Motors Co,Detroit,USA,25,1613,United States,North America
4839,2014,Ford Motor Co,Dearborn,USA,25,920,United States,North America
64768,2014,Amazon.com Inc,Seattle,USA,25,830,United States,North America
7906,2014,NIKE Inc,Beaverton,USA,25,552,United States,North America
6097,2014,International Game Technology,Las Vegas,USA,25,320,United States,North America
10991,2014,Light & Wonder Inc,Las Vegas,USA,25,306,United States,North America
114524,2014,eBay Inc.,San Jose,USA,25,241,United States,North America
