year,sector_code,count_companies,count_patents
2000,60,15,36
2000,NA,172,905
2001,10,138,2187
2001,15,568,8744
2001,20,1101,19723
2001,25,739,18163
2001,30,209,3442
2001,35,900,12268
2001,40,85,679
2001,45,1271,43118
2001,50,103,1193
2001,55,61,203
2001,60,10,40
2001,NA,157,937
2002,10,133,2087
2002,15,528,8389
2002,20,1159,20806
2002,25,726,18711
2002,30,227,3287
2002,35,908,12776
2002,40,78,572
2002,45,1258,44186
2002,50,91,1291
2002,55,58,211
2002,60,14,49
2002,NA,134,927
2003,10,140,2085
2003,15,546,7848
2003,20,1108,21380
2003,25,725,19200
2003,30,213,3301
2003,35,930,13358
2003,40,82,534
2003,45,1325,46721
2003,50,109,1209
2003,55,57,169
2003,60,18,70
2003,NA,129,850
2004,10,129,2093
2004,15,532,7163
2004,20,1096,20659
2004,25,717,19376
2004,30,197,2812
2004,35,898,11900
2004,40,78,570
2004,45,1355,49468
2004,50,105,1301
2004,55,54,161
2004,60,13,60
2004,NA,114,758
2005,10,120,1758
2005,15,490,5722
2005,20,1011,18152
2005,25,697,17288
2005,30,180,2286
2005,35,872,10024
2005,40,82,478
2005,45,1311,44968
2005,50,116,1227
2005,55,51,179
2005,60,15,52
2005,NA,107,645
2006,10,134,2212
2006,15,506,6462
2006,20,1099,22084
2006,25,758,22168
2006,30,181,2591
2006,35,975,12199
2006,40,101,641
2006,45,1429,58076
2006,50,135,1823
2006,55,41,185
2006,60,20,66
2006,NA,127,814
2007,10,118,2040
2007,15,503,6130
2007,20,1066,19775
2007,25,721,20628
2007,30,199,2536
2007,35,916,11347
2007,40,97,664
2007,45,1402,55321
2007,50,112,1745
2007,55,50,285
2007,60,16,66
2007,NA,109,673
2008,10,125,2071
2008,15,474,5748
2008,20,1047,19705
2008,25,766,20673
2008,30,179,2438
2008,35,916,11062
2008,40,121,691
2008,45,1393,59188
2008,50,118,1996
2008,55,51,394
2008,60,20,67
2008,NA,111,707
2009,10,140,2120
2009,15,491,6560
2009,20,1080,19967
2009,25,715,20984
2009,30,191,2379
2009,35,917,11920
2009,40,130,779
2009,45,1421,63543
2009,50,126,2356
2009,55,49,513
2009,60,16,66
2009,NA,93,721
2010,10,151,3123
2010,15,560,8893
2010,20,1152,25317
2010,25,767,26018
2010,30,207,3346
2010,35,1083,16304
2010,40,153,1279
2010,45,1522,78285
2010,50,134,3396
2010,55,62,856
2010,60,20,87
2010,NA,121,895
2011,10,157,2953
2011,15,561,9252
2011,20,1181,26473
2011,25,746,26649
2011,30,205,3282
2011,35,1094,17072
2011,40,153,1356
2011,45,1555,78472
2011,50,143,4230
2011,55,53,654
2011,60,18,67
2011,NA,117,832
2012,10,163,3169
2012,15,604,10210
2012,20,1216,28980
2012,25,800,31108
2012,30,229,3763
2012,35,1191,19315
2012,40,166,1683
2012,45,1603,85659
2012,50,160,6122
2012,55,65,756
2012,60,20,69
2012,NA,113,967
2013,10,174,3839
2013,15,623,10871
2013,20,1274,30316
2013,25,827,32821
2013,30,234,4305
2013,35,1279,21529
2013,40,170,2030
2013,45,1638,92970
2013,50,176,7644
2013,55,60,745
2013,60,18,101
2013,NA,107,945
2014,10,174,4330
2014,15,618,11979
2014,20,1300,32334
2014,25,848,34069
2014,30,221,4035
2014,35,1338,22127
2014,40,170,1945
2014,45,1660,102321
2014,50,186,9352
2014,55,72,746
2014,60,20,111
2014,NA,112,1130
2015,10,196,4377
2015,15,633,11789
2015,20,1306,32915
2015,25,827,34493
2015,30,234,3894
2015,35,1378,21033
2015,40,137,1395
2015,45,1665,102127
2015,50,182,9498
2015,55,68,271
2015,60,23,111
2015,NA,107,1101
2016,10,195,4517
2016,15,633,11811
2016,20,1296,32668
2016,25,835,35935
2016,30,241,3802
2016,35,1416,20861
2016,40,137,1584
2016,45,1713,106213
2016,50,195,9951
2016,55,65,279
2016,60,25,121
2016,NA,117,1157
2017,10,190,4867
2017,15,674,12336
2017,20,1362,36130
2017,25,883,40382
2017,30,249,3781
2017,35,1455,21435
2017,40,155,2136
2017,45,1717,105864
2017,50,198,10104
2017,55,64,327
2017,60,18,80
2017,NA,117,1142
2018,10,182,4420
2018,15,669,11734
2018,20,1342,36233
2018,25,878,40106
2018,30,251,3996
2018,35,1462,20254
2018,40,153,2800
2018,45,1669,97939
2018,50,194,9488
2018,55,63,312
2018,60,22,83
2018,NA,113,1084
2019,10,189,5219
2019,15,679,12813
2019,20,1411,41363
2019,25,933,47019
2019,30,251,4527
2019,35,1539,23158
2019,40,182,4281
2019,45,1726,109703
2019,50,214,11261
2019,55,71,378
2019,60,22,82
2019,NA,126,1259
2020,10,180,4646
2020,15,667,12420
2020,20,1404,40336
2020,25,916,46093
2020,30,255,4881
2020,35,1596,22923
2020,40,173,4804
2020,45,1714,107609
2020,50,216,11982
2020,55,61,334
2020,60,24,117
2020,NA,107,1254
2021,10,178,4585
2021,15,645,11204
2021,20,1353,35507
2021,25,917,42013
2021,30,259,4475
2021,35,1607,21306
2021,40,173,5114
2021,45,1697,99405
2021,50,212,11298
2021,55,56,287
2021,60,25,101
2021,NA,107,1155
2022,10,177,4648
2022,15,646,10874
2022,20,1379,33880
2022,25,879,41722
2022,30,252,4258
2022,35,1578,20447
2022,40,180,5289
2022,45,1661,95671
2022,50,209,11692
2022,55,75,280
2022,60,29,115
2022,NA,96,972
2023,10,139,3279
2023,15,594,6803
2023,20,1184,22650
2023,25,780,28502
2023,30,207,3041
2023,35,1384,14452
2023,40,160,4319
2023,45,1468,68595
2023,50,166,8732
2023,55,53,182
2023,60,20,89
2023,NA,92,637
